Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Platelet Dense Tubular Network (GO:0031094)	2/11	0.16388122576830103	0.7626014441805115	0	0	3.115118123382586	5.634044214377035	DMTN;IRAG1
Spectrin-associated Cytoskeleton (GO:0014731)	2/11	0.16388122576830103	0.7626014441805115	0	0	3.115118123382586	5.634044214377035	DMTN;SPTB
Basement Membrane (GO:0005604)	6/56	0.16782700333606712	0.7626014441805115	0	0	1.6835267520723436	3.004794864431909	COL15A1;EGFLAM;COL4A4;COL22A1;NID1;NID2
Intercalated Disc (GO:0014704)	4/33	0.17478360614674363	0.7626014441805115	0	0	1.9343556212864224	3.3739158539774294	DLG1;CTNNA3;DSG2;SLC8A1
Postsynaptic Specialization Membrane (GO:0099634)	7/69	0.17494805195687305	0.7626014441805115	0	0	1.5841361358439157	2.761570974032179	CACNG7;DLG1;GRIN3A;LRFN1;GRIK4;GRIN2C;CACNG3
Cytoplasmic Dynein Complex (GO:0005868)	3/22	0.17788352274398034	0.7626014441805115	0	0	2.213850415512465	3.8224923726951547	DYNC2I1;DYNLT2B;DYNLL1
Mitochondrial Outer Membrane Translocase Complex (GO:0005742)	3/22	0.17788352274398034	0.7626014441805115	0	0	2.213850415512465	3.8224923726951547	SAMM50;APOOL;TOMM20L
Nucleus (GO:0005634)	370/5331	0.1812686941905577	0.7626014441805115	0	0	1.061492518068766	1.8127902260378261	ATF1;PANK4;TSBP1;CMAS;NTAQ1;ENO1;ADARB1;SMC6;RBPJ;IKZF4;RPL7;ALKBH5;AKT2;TRIM24;CDK20;FAM53B;EPC1;SOX6;NFRKB;IER3;FAAP100;DDX17;RBFOX3;METTL1;NSMCE3;PIH1D1;STARD9;DAPK3;METTL3;SOX13;MTUS1;RFX3;DDX10;MTUS2;EBF2;CSNK1D;SOX12;GTPBP3;INPP4A;ISL2;RNF126;DDX39A;TCEANC2;PADI2;DNA2;BCORL1;HOXB8;ILRUN;PAXIP1;GGNBP2;FOXG1;AGAP2;ZBTB1;DCUN1D1;FIGNL2;GATA4;BAZ2B;CYB5R2;FXR2;FIGNL1;CMYA5;HOXC5;ATRIP;NKX2-4;CDT1;SRPK3;CFAP74;ZRANB1;CRADD;SETD1B;SETD1A;MICAL3;NFATC2;IRF2BP2;NR0B1;NFATC4;PARP10;PPP5C;EIF5;NPLOC4;CDAN1;CABYR;LAS1L;STAG3;DMRTC2;MAGED2;CDIN1;FERMT2;HOXD8;INTS11;BTG4;SMG1;SNX10;PTH1R;EFCAB6;ING1;ING3;HNF4A;SH3BGRL2;NELFCD;JAK2;CLIC1;BRD3;TEAD4;RMI2;ZHX2;TIGD5;DUSP3;FOXD1;PCYT1A;ACTL6B;SYK;STRBP;EN1;KIF23;PAX6;SIRT7;TYK2;TUBG2;DYNLL1;PPRC1;SIRT1;GNL1;CBFA2T3;DDB1;ZFTA;MN1;TOX3;KAT2B;MED25;ZEB2;AEBP2;PDIK1L;TAL1;NFX1;PPARA;PRMT9;PRKN;SF3B4;FOXC1;MYRF;KARS1;SATB1;DLST;TRAK1;CENPB;RELB;BCLAF1;SCAF8;RBM15B;RXRA;SERTAD2;RNF138;LEO1;SPOP;HSF4;FLNA;PABPC1L2A;PMS1;SRSF11;RUNX1T1;BRD4;ARNT2;MBD6;YTHDF2;MYEF2;CDX2;ERCC6L2;SEPTIN2;STAT2;GINS3;ATAD2;HUWE1;XPO7;PUS7L;LBX1;POU4F1;SEPTIN7;PPP1CA;PER2;FOXR1;PER1;WT1;GID8;MPLKIP;CTNNB1;PKN2;UBAP2;NCAPD2;BMAL2;ACTR10;PRDM4;UBE2D3;JADE1;LOXL3;UBE2D1;MYRFL;UBE2Z;CARF;ETS1;FGF2;ACTG1;CCND3;RGS3;CCND2;SMARCAD1;MTREX;PITX2;MAP3K7;PITX3;TGM2;PDGFRA;TLE2;FBXW7;KMT5C;FBXW11;RALGAPA1;TOMM34;PIAS2;SAP30;EEF1A1;MAF;KAT6B;CARD19;SRSF2;PHIP;SNRPC;SNRPB;NOTCH1;PSMD13;MAZ;FOXO6;BHLHE22;FOXO3;PDS5A;RLF;GTF2E1;FOXO1;ZFP36L2;NPAS3;SBNO1;SCRT2;RNASEH1;PDZD2;ZMAT2;NACC2;ZKSCAN8;DMAP1;SUDS3;MDN1;BCL9L;AKIRIN1;TNK2;ANKRD23;ZBTB10;USB1;DHCR24;EVX2;FOXN2;MCC;MAFA;SCRT1;CLK1;CDK9;MOB1B;NR4A2;PTPRE;DLG1;APPBP2;TLX3;LHX2;MAFG;TLX1;GNAS;SP8;TCF4;KDM5B;DYRK3;NAA40;MCMDC2;ONECUT1;CHD7;CELF5;CHD3;CTDSPL2;YBX1;CHD2;SOBP;CHD1;CDC73;DTWD2;PPP6R1;SNRNP70;TRPS1;NTMT2;SNAPC4;METTL16;CNPPD1;RBM33;KDM6B;KLF10;ACTR2;NAA30;GLRX3;ACTR5;FOXL1;TRNAU1AP;AXIN2;ARID1A;ETV4;TTI2;MSL1;ARL4C;EPN3;CCNA1;ASPM;SFPQ;PTP4A3;PALLD;POLR1C;RBM20;POLR1E;MYH9;TOP1;POLR1G;L3MBTL4;RBMS3;HDAC4;SASH3;USP16;ZBTB47;POLDIP2;PERM1;RNF38;TULP3;TTK;UACA;IWS1;PPM1G;CECR2;MTA1;NXF3;CCDC85B;RBBP5;E2F3;POLR2H;SPEN;USP25;KDM4B;SKOR2;EYA2;SMOX;IRX6;TAF11;MAPK15;PTPN14;USP29;KLF8;KLF7;TRIM39;TEF;NOVA1;EIF3G;NAA16;RGS12;NAA15;ERCC6;NRDE2;TRIM33;OTUD3
Bicellular Tight Junction (GO:0005923)	8/83	0.18763073983695658	0.7626014441805115	0	0	1.496714465408805	2.504421478800093	DLG1;RAP2B;CLDN15;PARD3;RAPGEF2;FRMD4A;FRMD4B;MPDZ
ATAC Complex (GO:0140672)	2/12	0.18839996197276032	0.7626014441805115	0	0	2.803456048084147	4.679495526712035	KAT2B;MAP3K7
