Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Regulation of Cardiac Muscle Cell Action Potential (GO:0098901)	2/29	0.11150555642059183	0.6062657316462619	0	0	3.6901328809725755	8.09497385691986	DLG1;FGF13
Maturation of SSU-rRNA Fm Tricistronic rRNA Trans (GO:0000462)	2/29	0.11150555642059183	0.6062657316462619	0	0	3.6901328809725755	8.09497385691986	ABT1;NOP9
Positive Regulation of Natural Killer Cell Mediated Immunity (GO:0002717)	2/29	0.11150555642059183	0.6062657316462619	0	0	3.6901328809725755	8.09497385691986	PVR;RASGRP4
Synapse Assembly (GO:0007416)	4/93	0.11230905139315255	0.6062657316462619	0	0	2.2432828529555446	4.90493979830619	GABRA5;NRCAM;MAPT;FGF13
Positive Regulation of Supramolecular Fiber Organization (GO:1902905)	4/93	0.11230905139315255	0.6062657316462619	0	0	2.2432828529555446	4.90493979830619	CARMIL1;CRACD;F2RL1;MAPT
Pyridine Nucleotide Salvage (GO:0019365)	1/6	0.11281395113074703	0.6062657316462619	0	0	9.949238578680204	21.709390476977187	PNP
5S Class rRNA Transcription by RNA Polymerase III (GO:0042791)	1/6	0.11281395113074703	0.6062657316462619	0	0	9.949238578680204	21.709390476977187	GTF3C4
Adenosine Metabolic Process (GO:0046085)	1/6	0.11281395113074703	0.6062657316462619	0	0	9.949238578680204	21.709390476977187	ACP3
Axo-dendritic Transport (GO:0008088)	1/6	0.11281395113074703	0.6062657316462619	0	0	9.949238578680204	21.709390476977187	MAPT
Cap-dependent Translational Initiation (GO:0002191)	1/6	0.11281395113074703	0.6062657316462619	0	0	9.949238578680204	21.709390476977187	SLBP
Regulation of Cholesterol Import (GO:0060620)	1/6	0.11281395113074703	0.6062657316462619	0	0	9.949238578680204	21.709390476977187	PLA2G2A
Cellular Response to Cold (GO:0070417)	1/6	0.11281395113074703	0.6062657316462619	0	0	9.949238578680204	21.709390476977187	FOXO1
Regulation of Glomerular Filtration (GO:0003093)	1/6	0.11281395113074703	0.6062657316462619	0	0	9.949238578680204	21.709390476977187	F2RL1
Regulation of Gonadotropin Secretion (GO:0032276)	1/6	0.11281395113074703	0.6062657316462619	0	0	9.949238578680204	21.709390476977187	GJA1
Cerebral Cortex Cell Migration (GO:0021795)	1/6	0.11281395113074703	0.6062657316462619	0	0	9.949238578680204	21.709390476977187	FGF13
Cerebral Cortex Neuron Differentiation (GO:0021895)	1/6	0.11281395113074703	0.6062657316462619	0	0	9.949238578680204	21.709390476977187	TOX
Chondrocyte Development (GO:0002063)	1/6	0.11281395113074703	0.6062657316462619	0	0	9.949238578680204	21.709390476977187	SOX9
Constitutive Secretory Pathway (GO:0045054)	1/6	0.11281395113074703	0.6062657316462619	0	0	9.949238578680204	21.709390476977187	BICD1
Regulation of Metaphase Plate Congression (GO:0090235)	1/6	0.11281395113074703	0.6062657316462619	0	0	9.949238578680204	21.709390476977187	DYNC1H1
De Novo Centriole Assembly (GO:0097742)	1/6	0.11281395113074703	0.6062657316462619	0	0	9.949238578680204	21.709390476977187	CCDC78
Regulation of Oligodendrocyte Progenitor Proliferation (GO:0070445)	1/6	0.11281395113074703	0.6062657316462619	0	0	9.949238578680204	21.709390476977187	CNTFR
Erythropoietin-mediated Signaling Pathway (GO:0038162)	1/6	0.11281395113074703	0.6062657316462619	0	0	9.949238578680204	21.709390476977187	JAK2
