Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Mitochondrial Inner Membrane (GO:0005743)	8/435	0.17690125631793563	0.414085282438622	0	0	1.5022496040113889	2.6021420461106604	ATPAF2;LDHB;COX7A2L;ATP5F1A;LRRK2;EFHD1;ABCB8;PARL
Specific Granule Lumen (GO:0035580)	2/62	0.1804922937037255	0.414085282438622	0	0	2.6573549257759783	4.54957019730159	B2M;VCL
Glial Cell Projection (GO:0097386)	1/16	0.18169945276225305	0.414085282438622	0	0	5.305376344086022	9.047795795630028	SLC1A2
Triglyceride-rich Plasma Lipoprotein Particle (GO:0034385)	1/16	0.18169945276225305	0.414085282438622	0	0	5.305376344086022	9.047795795630028	APOE
Very-low-density Lipoprotein Particle (GO:0034361)	1/16	0.18169945276225305	0.414085282438622	0	0	5.305376344086022	9.047795795630028	APOE
Endosome Membrane (GO:0010008)	8/439	0.18298471783159573	0.414085282438622	0	0	1.4879995378883422	2.527147941623649	VAC14;TMEM151B;DAGLA;PPP1R21;ERBB2;SLC30A10;B2M;STX11
Caveola (GO:0005901)	2/63	0.1849721058609073	0.414085282438622	0	0	2.6136589898453573	4.410680867097955	LRRK2;DLC1
MHC Class II Protein Complex (GO:0042613)	1/17	0.191895436785764	0.42003778940883907	0	0	4.973538306451613	8.210340189986086	B2M
Myosin Filament (GO:0032982)	1/17	0.191895436785764	0.42003778940883907	0	0	4.973538306451613	8.210340189986086	MYH8
PRC1 Complex (GO:0035102)	1/18	0.20196488328128645	0.43476879874178354	0	0	4.680740037950664	7.487599357967169	BMI1
Platelet Alpha Granule Lumen (GO:0031093)	2/67	0.20303923596062987	0.43476879874178354	0	0	2.4523201494861415	3.909871437497228	TEX264;SERPING1
Secretory Granule Lumen (GO:0034774)	6/318	0.20617827780625267	0.4348556582798212	0	0	1.5383823994935106	2.4291274357092174	ACTR2;TEX264;SERPING1;CCT8;B2M;VCL
Nuclear Membrane (GO:0031965)	4/189	0.21002801670748006	0.4348556582798212	0	0	1.7267291781577496	2.6945856511857778	PAK1;GRK5;SETBP1;LPIN1
Nuclear Speck (GO:0016607)	6/320	0.21007388230034932	0.4348556582798212	0	0	1.5284265156876622	2.3847977629191885	ATPAF2;PRKN;GRK5;NFKBIZ;CDC25C;NFATC4
Endoribonuclease Complex (GO:1902555)	1/19	0.21190935631910068	0.4348556582798212	0	0	4.420474910394265	6.858794107794724	AGO2
High-density Lipoprotein Particle (GO:0034364)	1/20	0.22173040073862332	0.44572335658682444	0	0	4.187606112054329	6.307761966777845	APOE
SAGA Complex (GO:0000124)	1/20	0.22173040073862332	0.44572335658682444	0	0	4.187606112054329	6.307761966777845	TAF6L
Vacuolar Membrane (GO:0005774)	2/74	0.23507011228562139	0.46762772998171964	0	0	2.2131129104813314	3.2043030190374524	TEX264;ATP6V1E1
Asymmetric Synapse (GO:0032279)	3/136	0.24017950460436127	0.46762772998171964	0	0	1.7988263341280029	2.565789578572571	PRNP;NLGN1;LRP4
Cytoplasmic Side of Plasma Membrane (GO:0009898)	3/136	0.24017950460436127	0.46762772998171964	0	0	1.7988263341280029	2.565789578572571	RGS4;RGS1;ANK1
Cell-cell Junction (GO:0005911)	6/336	0.24212197186870762	0.46762772998171964	0	0	1.4531238309016086	2.0609853845792436	PAK1;DES;ILDR2;FRS2;VCL;NECTIN2
MHC Protein Complex (GO:0042611)	1/23	0.25046812725253986	0.47905068998786754	0	0	3.616019061583578	5.006102138004722	B2M
Sodium Channel Complex (GO:0034706)	1/24	0.2598105290757178	0.49214109834535	0	0	3.458625525946704	4.661544642127012	GRIK2
Myofibril (GO:0030016)	1/26	0.2781488121480666	0.5207036123689781	0	0	3.1816129032258065	4.071188730761572	DES
INO80-type Complex (GO:0097346)	1/27	0.2871475441165661	0.5207036123689781	0	0	3.0590880893300247	3.8170050143892196	ANP32E
MLL1 Complex (GO:0071339)	1/27	0.2871475441165661	0.5207036123689781	0	0	3.0590880893300247	3.8170050143892196	TAF1
MLL1/2 Complex (GO:0044665)	1/27	0.2871475441165661	0.5207036123689781	0	0	3.0590880893300247	3.8170050143892196	TAF1
Axon (GO:0030424)	4/220	0.293816725031573	0.5207036123689781	0	0	1.4765684051398338	1.8084996393434165	RAP1GAP2;PAK1;ATCAY;LRRK2
H4/H2A Histone Acetyltransferase Complex (GO:0043189)	1/28	0.2960345410422617	0.5207036123689781	0	0	2.9456391875746712	3.5856651333362244	EPC2
NuA4 Histone Acetyltransferase Complex (GO:0035267)	1/28	0.2960345410422617	0.5207036123689781	0	0	2.9456391875746712	3.5856651333362244	EPC2
Vacuolar Proton-Transporting V-type ATPase Complex (GO:0016471)	1/28	0.2960345410422617	0.5207036123689781	0	0	2.9456391875746712	3.5856651333362244	ATP6V1E1
Excitatory Synapse (GO:0060076)	1/29	0.3048111846448894	0.5290399208068832	0	0	2.8402937788018434	3.374447268365372	NLGN1
Azurophil Granule Lumen (GO:0035578)	2/90	0.30883041062330746	0.5290399208068832	0	0	1.8092565329407435	2.1258094578097966	ACTR2;CCT8
Plasma Membrane Raft (GO:0044853)	2/90	0.30883041062330746	0.5290399208068832	0	0	1.8092565329407435	2.1258094578097966	DLC1;LRP4
Platelet Alpha Granule (GO:0031091)	2/91	0.3134161857231889	0.5322671429954157	0	0	1.7888368284583542	2.0754501768956306	TEX264;SERPING1
Focal Adhesion (GO:0005925)	6/371	0.31644671302197314	0.5328205338916984	0	0	1.3114155251141553	1.5089152472400937	ACTR2;DLC1;CSPG4;B2M;VCL;NECTIN2
Dendrite Membrane (GO:0032590)	1/31	0.3220388546682572	0.5339982544017369	0	0	2.650672043010753	3.0034316267817784	DAGLA
Autophagosome (GO:0005776)	2/93	0.3225674734711	0.5339982544017369	0	0	1.7493437736352717	1.9792826702972022	TEX264;LRRK2
Recycling Endosome (GO:0055037)	3/162	0.3279256460621362	0.5340138453194613	0	0	1.5026844608068721	1.675445666626897	SLC30A10;B2M;STX11
Endoplasmic Reticulum Lumen (GO:0005788)	5/306	0.33349498763021024	0.5340138453194613	0	0	1.3241381188388432	1.4540724070615594	COL26A1;P3H1;SERPING1;APOE;B2M
Cell-substrate Junction (GO:0030055)	6/379	0.333976601612479	0.5340138453194613	0	0	1.2827590772184159	1.4067817964831635	ACTR2;DLC1;CSPG4;B2M;VCL;NECTIN2
Adherens Junction (GO:0005912)	3/164	0.33473418728927373	0.5340138453194613	0	0	1.4838660808968338	1.6239705392750627	FRS2;VCL;NECTIN2
Endolysosome (GO:0036019)	1/33	0.3388412724108257	0.5340138453194613	0	0	2.4847530241935485	2.6890581249868664	CTSB
GABA-ergic Synapse (GO:0098982)	1/33	0.3388412724108257	0.5340138453194613	0	0	2.4847530241935485	2.6890581249868664	NLGN1
Nuclear Chromosome (GO:0000228)	2/99	0.3498217422895281	0.5469435177066432	0	0	1.6406360866480236	1.723211863536543	BLM;ANP32E
SAGA-type Complex (GO:0070461)	1/35	0.35522889358551774	0.5505587194712833	0	0	2.338353889943074	2.420179736022143	TAF6L
Late Endosome (GO:0005770)	4/244	0.36131794681646895	0.5505587194712833	0	0	1.3272789115646257	1.3511659092141457	VAC14;B2M;MFSD12;STX11
Ionotropic Glutamate Receptor Complex (GO:0008328)	1/36	0.3632703527003509	0.5505587194712833	0	0	2.2714285714285714	2.3000666262058225	GRIK2
Phagocytic Vesicle (GO:0045335)	2/102	0.3633128605648063	0.5505587194712833	0	0	1.591174089068826	1.6110493508696981	ABCA1;B2M
Cul4-RING E3 Ubiquitin Ligase Complex (GO:0080008)	1/37	0.371211917833494	0.5582347161312848	0	0	2.2082213261648747	2.1883079668391177	CRBN
Cajal Body (GO:0015030)	1/39	0.38680029499659957	0.5772701372297736	0	0	2.0917869269949065	1.9868770200385344	SHQ1
Endoplasmic Reticulum Membrane (GO:0005789)	13/944	0.39485541500509097	0.5832411761091514	0	0	1.1135283729905878	1.0347302270068253	ABCA1;TMEM151B;SSR4;TEX264;TMTC2;SGMS2;AGPAT3;CYB561D2;LMF1;NCLN;CDK1;LPIN1;EMC8
Apical Junction Complex (GO:0043296)	2/110	0.3987412857974977	0.5832411761091514	0	0	1.47270955165692	1.3540717209064548	VCL;NECTIN2
Voltage-gated Calcium Channel Complex (GO:0005891)	1/41	0.40200373124248795	0.5832411761091514	0	0	1.9869959677419355	1.8107373220314966	PDE4B
Lysosomal Membrane (GO:0005765)	6/410	0.40264365457281515	0.5832411761091514	0	0	1.1824349101576825	1.075664987136464	SYNGR1;ATP6V1E1;SLC30A10;ABCA13;B2M;MFSD12
Cyclin-dependent Protein Kinase Holoenzyme Complex (GO:0000307)	1/42	0.4094640644924292	0.5887913920073617	0	0	1.9384343036978757	1.7308398803932534	CDK1
Bounding Membrane of Organelle (GO:0098588)	13/962	0.42124822083949104	0.596780218957627	0	0	1.0913628976085443	0.9435192627141231	EVC2;VAC14;TMEM151B;PGAP4;SLC35E3;SGMS2;ABCA13;AGPAT3;MARCO;ERBB2;NOSTRIN;ATP6V1E1;B2M
Serine/threonine Protein Kinase Complex (GO:1902554)	1/44	0.4241077698176029	0.596780218957627	0	0	1.8480870217554388	1.5852293206908663	CDK1
Transcription Factor TFIID Complex (GO:0005669)	1/44	0.4241077698176029	0.596780218957627	0	0	1.8480870217554388	1.5852293206908663	TAF1
Cytoplasmic Vesicle Lumen (GO:0060205)	2/119	0.43746950466674944	0.6112162582932599	0	0	1.3588013426070107	1.1233866718194783	CCT8;VCL
Ciliary Membrane (GO:0060170)	1/49	0.4591539884440885	0.6313523935362022	0	0	1.655157930107527	1.2883246795169603	EVC2
Phagocytic Vesicle Membrane (GO:0030670)	1/49	0.4591539884440885	0.6313523935362022	0	0	1.655157930107527	1.2883246795169603	B2M
Autophagosome Membrane (GO:0000421)	1/50	0.4659040445720373	0.6313523935362022	0	0	1.6212969058591178	1.2383069829953701	TEX264
Golgi-associated Vesicle (GO:0005798)	1/50	0.4659040445720373	0.6313523935362022	0	0	1.6212969058591178	1.2383069829953701	LRRK2
Microtubule (GO:0005874)	3/204	0.4679058348034798	0.6313523935362022	0	0	1.1861424584395097	0.9008612137446567	KIF5B;CDK1;CCT8
Calcium Channel Complex (GO:0034704)	1/53	0.4856548927103332	0.6508436317274533	0	0	1.5275279156327544	1.103267736824442	PDE4B
Mitotic Spindle (GO:0072686)	2/133	0.4949006834714204	0.6577768651607906	0	0	1.212720585962852	0.8530254481589616	CDK1;MAD2L1
Cytoplasmic Vesicle Membrane (GO:0030659)	6/456	0.503195104769887	0.6577768651607906	0	0	1.059039780521262	0.7273244830107666	MARCO;VAC14;TMEM151B;ERBB2;NOSTRIN;ABCA13
Basement Membrane (GO:0005604)	1/56	0.5046781781179129	0.6577768651607906	0	0	1.4439882697947215	0.9874487422002681	VWA2
Polymeric Cytoskeletal Fiber (GO:0099513)	4/298	0.509976596911368	0.6577768651607906	0	0	1.0804942385117313	0.7275944936340404	PAK1;DES;KIF5B;CCT8
Coated Vesicle Membrane (GO:0030662)	1/57	0.510862235378685	0.6577768651607906	0	0	1.4181307603686637	0.9524950742112936	B2M
ER to Golgi Transport Vesicle Membrane (GO:0012507)	1/57	0.510862235378685	0.6577768651607906	0	0	1.4181307603686637	0.9524950742112936	B2M
Microvillus (GO:0005902)	1/60	0.5289567962152675	0.6766525250286214	0	0	1.3458173865500274	0.8570818123349425	LRRK2
Transport Vesicle Membrane (GO:0030658)	1/61	0.5348389154092573	0.6797630086169271	0	0	1.3233198924731182	0.8281199189695047	B2M
SCF Ubiquitin Ligase Complex (GO:0019005)	1/63	0.5463845758296723	0.6899856502464451	0	0	1.2805020811654526	0.7739766898183038	PRKN
Supramolecular Fiber (GO:0099512)	1/64	0.5520499185067071	0.6926995792727472	0	0	1.2601126472094215	0.7486540995427952	MYH8
Intracellular Membrane-Bounded Organelle (GO:0043231)	68/5509	0.5576075152204034	0.6952448132811359	0	0	0.9880780365162807	0.5771363236509011	ITSN1;EHMT1;JMJD1C;UBE2D1;BMI1;TENT4A;ABCA13;CABIN1;RPS6KA4;RGS4;SIN3A;FTH1;NFKBIZ;IKBKE;ACTR2;TPI1;MORC4;CDKL5;P3H1;UBE2QL1;LIG3;CDC25C;TAF6L;PSMA3;SETBP1;PRKD2;DNAJC8;TRIB1;ITGB3BP;PRKN;AARS1;BLM;TEX264;TCF7;HSPA13;PURB;PCNP;ERBB2;APOE;MUTYH;ABCA1;EVC2;ATF7IP;CENPW;CRBN;FOXF1;SETD1B;OGA;UPF3A;MLH1;HIPK3;NFATC4;MLXIPL;CDAN1;DES;THEMIS2;STK24;DLC1;AGO2;MAB21L2;ANP32E;CDK1;TRIM35;LHX4;NIT1;LPIN1;MAD2L1;TAF1
Intermediate Filament Cytoskeleton (GO:0045111)	1/66	0.5631700495026344	0.6977641493837671	0	0	1.2212158808933002	0.7011899855132606	DES
Cortical Cytoskeleton (GO:0030863)	1/68	0.5740152091327347	0.7067562262446796	0	0	1.1846413095811266	0.6575936638946378	DLC1
Clathrin-coated Endocytic Vesicle Membrane (GO:0030669)	1/69	0.5793367976509439	0.7088779449517761	0	0	1.167160815939279	0.6371195709062982	APOE
Actin Cytoskeleton (GO:0015629)	4/330	0.5904964864208491	0.7106085437682607	0	0	0.9728308501314636	0.5124791137844592	LAD1;ACTR2;PAK1;DLC1
Specific Granule (GO:0042581)	2/160	0.59458786213968	0.7106085437682607	0	0	1.0040998308819762	0.5220182299995421	B2M;VCL
Exocytic Vesicle Membrane (GO:0099501)	1/72	0.5949075384179013	0.7106085437682607	0	0	1.117673784643344	0.5804630788265306	SYNGR1
Synaptic Vesicle Membrane (GO:0030672)	1/73	0.5999691455246393	0.7106085437682607	0	0	1.1020945340501793	0.5630348035102768	SYNGR1
Chromosome (GO:0005694)	2/162	0.601360666312606	0.7106085437682607	0	0	0.9914473684210526	0.5042108842465473	BLM;MLH1
Nucleus (GO:0005634)	65/5331	0.6023940447172564	0.7106085437682607	0	0	0.9717021829950957	0.49250092418591646	EHMT1;JMJD1C;UBE2D1;BMI1;TENT4A;CABIN1;RPS6KA4;RGS4;SIN3A;FTH1;NFKBIZ;IKBKE;ACTR2;TPI1;MORC4;CDKL5;P3H1;UBE2QL1;LIG3;CDC25C;TAF6L;PSMA3;SETBP1;PRKD2;DNAJC8;TRIB1;ITGB3BP;PRKN;AARS1;BLM;TEX264;TCF7;HSPA13;PURB;PCNP;ERBB2;APOE;MUTYH;EVC2;ATF7IP;CENPW;CRBN;FOXF1;SETD1B;OGA;UPF3A;MLH1;HIPK3;NFATC4;MLXIPL;CDAN1;DES;THEMIS2;STK24;DLC1;AGO2;MAB21L2;ANP32E;CDK1;TRIM35;LHX4;NIT1;LPIN1;MAD2L1;TAF1
Tertiary Granule (GO:0070820)	2/164	0.6080481753025221	0.7130088722297432	0	0	0.9791073124406457	0.48710702807053624	FTH1;B2M
Spindle Microtubule (GO:0005876)	1/77	0.6195933953315856	0.7155062276884385	0	0	1.0438773344651953	0.49969555159785944	CDK1
Lytic Vacuole Membrane (GO:0098852)	4/343	0.6209204054639119	0.7155062276884385	0	0	0.9348985611943893	0.44552813142187897	ATP6V1E1;SLC30A10;B2M;MFSD12
Nucleolus (GO:0005730)	8/684	0.6210739336787968	0.7155062276884385	0	0	0.936679024773503	0.44614504179653347	ACTR2;BLM;SHQ1;STK24;UPF3A;TENT4A;RSL24D1;TAF1
COPII-coated ER to Golgi Transport Vesicle (GO:0030134)	1/80	0.6336796256873415	0.7179681296670398	0	0	1.004083299305839	0.45807462374517083	B2M
Golgi Membrane (GO:0000139)	6/522	0.6350424070694103	0.7179681296670398	0	0	0.9204230069863145	0.41793049160274887	VAC14;PGAP4;SLC35E3;SGMS2;B2M;AGPAT3
RNA Polymerase II, Holoenzyme (GO:0016591)	1/81	0.6382586139650969	0.7179681296670398	0	0	0.9914818548387097	0.44518697966002935	TAF1
Actin Filament (GO:0005884)	1/83	0.6472462661861441	0.7179681296670398	0	0	0.9672010228166797	0.42075994158210284	PAK1
Lipid Droplet (GO:0005811)	1/84	0.6516563354097142	0.7179681296670398	0	0	0.9554994170229304	0.40918111056660506	ALDH3B2
P-body (GO:0000932)	1/84	0.6516563354097142	0.7179681296670398	0	0	0.9554994170229304	0.40918111056660506	AGO2
Voltage-gated Potassium Channel Complex (GO:0008076)	1/84	0.6516563354097142	0.7179681296670398	0	0	0.9554994170229304	0.40918111056660506	AMIGO1
Nuclear Lumen (GO:0031981)	8/705	0.6546633630679956	0.7179681296670398	0	0	0.9074575685957006	0.3844299930273538	ACTR2;BLM;SHQ1;STK24;UPF3A;TENT4A;RSL24D1;TAF1
Clathrin-coated Endocytic Vesicle (GO:0045334)	1/85	0.6560114890358739	0.7179681296670398	0	0	0.944076420890937	0.39800088302598663	APOE
Clathrin-coated Vesicle Membrane (GO:0030665)	1/90	0.6769870698686208	0.736831230740985	0	0	0.8908118883653497	0.3475084839895544	APOE
Actin-based Cell Projection (GO:0098858)	1/91	0.6810267423038725	0.7371553199662795	0	0	0.8808691756272401	0.33838915693977034	LRRK2
Intermediate Filament (GO:0005882)	1/92	0.6850160937619281	0.7374216965633871	0	0	0.8711449840482098	0.32956542570298075	DES
Motile Cilium (GO:0031514)	1/94	0.6928463233944295	0.7417974223299055	0	0	0.8523239680887964	0.3127577742127389	DAAM1
Tight Junction (GO:0070160)	1/99	0.7115840508203968	0.757740854116855	0	0	0.8086323238973009	0.2751466387730423	ILDR2
Golgi Lumen (GO:0005796)	1/102	0.7222755640795934	0.7630074225645775	0	0	0.784493771957841	0.2552339074293628	CSPG4
Spindle (GO:0005819)	2/204	0.7242760813176446	0.7630074225645775	0	0	0.7836212771074679	0.2527826136660388	CDK1;MAD2L1
